identifier_file,title,host_title,abstract,date_text,date_key,date_qualifier,collection,collection_identifier,extent,form,genre,language,name,name_role,publisher,place_of_origin,subject_geographic 1,subject_geographic 2,subject_geographic 3,subject_name 1,digital_origin,subject_name 2,subject_name 3,subject_name 4,subject_name 5,subject_topical 1,subject_topical 2,subject_topical 3,subject_topical 4,project_title,repository,rights,public_note,item_type
0012_003707_000011,U.S.S.R. Hockey Team sentenced to hard labor,Nashville Banner,"A U.S.S.R. prison guard holds a newspaper with the headline ""U.S. Hockey Team Wins Olympic Gold."" The U.S.S.R. hockey team, represented with hockey sticks and uniforms, carries or breaks down large rocks in what appears to be a prison camp.",copyright 1980,1980,exact,Ed Gamble Cartoon Collection,MS.3763,11 inches by 17 inches,cartoons (humorous images),World politics and government--Caricatures and cartoons,eng,"Gamble, Ed",Illustrator,Nashville Banner,Nashville (Tenn.),Soviet Union,Russia,,,reformatted digital,,,,,"Olympic Games (22nd : 1980 : Moscow, Russia)",Forced labor,,,Ed Gamble Cartoon Collection,"University of Tennessee, Knoxville. Special Collections","The copyright interests in this item remain with the creator. For more information, contact Special Collections at special@utk.edu.",,Still Image
0012_003707_000012,Richard Nixon giving away his tapes on Halloween,Nashville Banner,"President Richard Nixon, as indicated by the mailbox labeled ""R. M. Nixon"", drops a reel tape into a bag held by a masked trick-or-treater. Two more children wait their turn.",approximate 1974,1974~,approximate,Ed Gamble Cartoon Collection,MS.3763,11 inches by 17 inches,cartoons (humorous images),United States--Politics and government--Caricatures and cartoons,eng,"Gamble, Ed",Illustrator,Nashville Banner,Nashville (Tenn.),United States,,,"Nixon, Richard M. (Richard Milhous), 1913-1994",reformatted digital,,,,,"Watergate Affair, 1972-1974",Halloween,,,Ed Gamble Cartoon Collection,"University of Tennessee, Knoxville. Special Collections","The copyright interests in this item remain with the creator. For more information, contact Special Collections at special@utk.edu.",,Still Image
0012_003707_000013,Death of the U.S. Auto Industry,Florida Times-Union,"President Jimmy Carter attends the burial for Japanese Prime Minister Masayoshi Ōhira. Carter is startled to find a tombstone with the inscription ""U.S. Auto Industry 1980"" in the graveyard.",copyright 1980,1980,exact,Ed Gamble Cartoon Collection,MS.3763,11 inches by 17 inches,cartoons (humorous images),International relations--Caricatures and cartoons,eng,"Gamble, Ed",Illustrator,Florida Times-Union,Jacksonville (Fla.),Japan,,,"Carter, Jimmy, 1924-",reformatted digital,"Ōhira, Masayoshi, 1910-1980",,,,Automobile industry and trade,Japan--Politics and government,United States--Foreign relations--Japan,,Ed Gamble Cartoon Collection,"University of Tennessee, Knoxville. Special Collections","The copyright interests in this item remain with the creator. For more information, contact Special Collections at special@utk.edu.",,Still Image
0012_003707_000014,General Haig...Would You Step In Here For A Minute?,Florida Times-Union,"Democratic donkeys dressed in suits meet in a basement room. One carries reel tapes and papers listing ""Watergate"" and ""Vietnam"", while another holds a poster with the image of former President Richard Nixon. At the top of the stairs, a donkey calls for General Alexander Haig through an open doorway. The door reads ""Senate Confirmation Hearings.""",copyright 1980,1980,exact,Ed Gamble Cartoon Collection,MS.3763,11 inches by 17 inches,cartoons (humorous images),United States--Politics and government--Caricatures and cartoons,eng,"Gamble, Ed",Illustrator,Florida Times-Union,Jacksonville (Fla.),Washington (D.C.),,,"Haig, Alexander Meigs, 1924-2010",reformatted digital,"Nixon, Richard M. (Richard Milhous), 1913-1994",Democratic National Committee (U.S.),United States. Congress. Senate. S. hrg,,"Watergate Affair, 1972-1974",Democratic donkey (Symbolic character),,,Ed Gamble Cartoon Collection,"University of Tennessee, Knoxville. Special Collections","The copyright interests in this item remain with the creator. For more information, contact Special Collections at special@utk.edu.",,Still Image
0012_003707_000015,"You're Still a Dollar and Seven Cents Short, Sir!!",Florida Times-Union,"A cashier informs a customer he is short on paying for his groceries. The customer has stripped down to his boxer shorts, using his pile of clothing to pay down the amount. The customer behind him holds a newspaper with the headline ""Food Prices Soar!""",copyright 1980,1980,exact,Ed Gamble Cartoon Collection,MS.3763,11 inches by 17 inches,cartoons (humorous images),United States--Economic conditions--Caricatures and cartoons,eng,"Gamble, Ed",Illustrator,Florida Times-Union,Jacksonville (Fla.),United States,,,,reformatted digital,,,,,United States--Economic conditions--1971-1981,Food prices,Inflation (Finance),,Ed Gamble Cartoon Collection,"University of Tennessee, Knoxville. Special Collections","The copyright interests in this item remain with the creator. For more information, contact Special Collections at special@utk.edu.",,Still Image
0012_003707_000016,Uh Oh... His Wallet is Clean! We'll Have to Turn Him Over and Probe for Some Loose Change!,Florida Times-Union,"A surgeon team operates on Uncle Sam. One of the surgeons states that Uncle Sam's wallet is clean, or empty. The surgeon with his back facing has scrubs labeled ""Health Care Costs.""",copyright 1980,1980,exact,Ed Gamble Cartoon Collection,MS.3763,11 inches by 17 inches,cartoons (humorous images),United States--Economic conditions--Caricatures and cartoons,eng,"Gamble, Ed",Illustrator,Florida Times-Union,Jacksonville (Fla.),United States,,,,reformatted digital,,,,,Uncle Sam (Symbolic character),United States--Economic conditions--1971-1981,"Medical care, Cost of",,Ed Gamble Cartoon Collection,"University of Tennessee, Knoxville. Special Collections","The copyright interests in this item remain with the creator. For more information, contact Special Collections at special@utk.edu.",,Still Image
0012_003707_000017,Environmentalist Ronald Reagan's Solution to Smog and Pollution ... A Smoke Stack and Scrubber for Every Tree!,Florida Times-Union,"Presidential candidate Ronald Reagan stands next to an image of trees covered with smoke stacks and scrubbers. Reagan wears a t-shirt with the message ""Factories don't cause pollution...trees do!""",copyright 1980,1980,exact,Ed Gamble Cartoon Collection,MS.3763,11 inches by 17 inches,cartoons (humorous images),United States--Politics and government--Caricatures and cartoons,eng,"Gamble, Ed",Illustrator,Florida Times-Union,Jacksonville (Fla.),United States,,,"Reagan, Ronald",reformatted digital,,,,,Environmentalism,Factory and trade waste--Environmental aspects,Pollution,,Ed Gamble Cartoon Collection,"University of Tennessee, Knoxville. Special Collections","The copyright interests in this item remain with the creator. For more information, contact Special Collections at special@utk.edu.",,Still Image
0012_003707_000018,Hey...I Just Came In Here to Get My Window Shield Cleaned!,Florida Times-Union,"A bus driver sits in a bus propped up by concrete blocks because the tires have been removed. The driver, wearing a ""Justice Dept."" t-shirt, informs the Congress Service Station attendant that he just came in to get his window shield cleaned. The attendant rolls a tire away.",copyright 1980,1980,exact,Ed Gamble Cartoon Collection,MS.3763,11 inches by 17 inches,cartoons (humorous images),United States--Politics and government--Caricatures and cartoons,eng,"Gamble, Ed",Illustrator,Florida Times-Union,Jacksonville (Fla.),Washington (D.C.),,,United States. Congress,reformatted digital,United States. Department of Justice,,,,Government spending policy,Budget deficits,,,Ed Gamble Cartoon Collection,"University of Tennessee, Knoxville. Special Collections","The copyright interests in this item remain with the creator. For more information, contact Special Collections at special@utk.edu.",,Still Image
0012_003707_000019,Presidential candidates run to catch the debate ball,Florida Times-Union,"Presidential candidates Ronald Reagan and Jimmy Carter, dressed as football players, lunge to catch a football marked ""Debates."" Independent Party candidate John Anderson, dressed in a baseball uniform complete with glove, runs ahead of the other candidates to catch the football.",copyright 1980,1980,exact,Ed Gamble Cartoon Collection,MS.3763,11 inches by 17 inches,cartoons (humorous images),United States--Politics and government--Caricatures and cartoons,eng,"Gamble, Ed",Illustrator,Florida Times-Union,Jacksonville (Fla.),United States,,,"Reagan, Ronald",reformatted digital,"Carter, Jimmy, 1924-","Anderson, John Bayard, 1922-",,,Presidents--United States--Election,Television debates,Football,Baseball,Ed Gamble Cartoon Collection,"University of Tennessee, Knoxville. Special Collections","The copyright interests in this item remain with the creator. For more information, contact Special Collections at special@utk.edu.",,Still Image
0012_003707_000020,I've decided not to vote!,Florida Times-Union,An interviewer asks an undecided voter whether he has made up his mind regarding who to vote for during the election after watching the television debates. The undecided voter tells the interviewer that he has decided not to vote.,copyright 1980,1980,exact,Ed Gamble Cartoon Collection,MS.3763,11 inches by 17 inches,cartoons (humorous images),United States--Politics and government--Caricatures and cartoons,eng,"Gamble, Ed",Illustrator,Florida Times-Union,Jacksonville (Fla.),United States,,,,reformatted digital,,,,,Presidents--United States--Election,Television debates,Voting,Public opinion,Ed Gamble Cartoon Collection,"University of Tennessee, Knoxville. Special Collections","The copyright interests in this item remain with the creator. For more information, contact Special Collections at special@utk.edu.",,Still Image
0012_003707_000021,Jimmy Carter hears the outcome of a survey about the Southwestern United States heat wave and drought,Florida Times-Union,"President Jimmy Carter listens to a poll taker who reads him the results of a survey: 72 per cent said the president was the cause of the Southwestern U.S. heat wave and drought, 21 per cent said he was not responsible, and 7 per cent said they didn't care.",copyright 1980,1980,exact,Ed Gamble Cartoon Collection,MS.3763,11 inches by 17 inches,cartoons (humorous images),United States--Politics and government--Caricatures and cartoons,eng,"Gamble, Ed",Illustrator,Florida Times-Union,Jacksonville (Fla.),Washington (D.C.),"White House (Washington, D.C.)",,"Carter, Jimmy, 1924-",reformatted digital,,,,,Survey findings,Heat waves (Meteorology),Drought and water crises,Public opinion,Ed Gamble Cartoon Collection,"University of Tennessee, Knoxville. Special Collections","The copyright interests in this item remain with the creator. For more information, contact Special Collections at special@utk.edu.",,Still Image
0012_003707_000022,America's Military Vulnerable to Soviets?,Florida Times-Union,"A woman reassures her husband that the Russians are not going to attack the United States after he has read a headline referring to the U.S. military's vulnerability. The wife states that the U.S. is as strong as the Russians because President Jimmy Carter said so. Her husband says, ""That's what's worrying me!""",copyright 1980,1980,exact,Ed Gamble Cartoon Collection,MS.3763,11 inches by 17 inches,cartoons (humorous images),United States--Politics and government--Caricatures and cartoons,eng,"Gamble, Ed",Illustrator,Florida Times-Union,Jacksonville (Fla.),United States,Soviet Union,,United States. Armed Forces,reformatted digital,,,,,,,,,Ed Gamble Cartoon Collection,"University of Tennessee, Knoxville. Special Collections","The copyright interests in this item remain with the creator. For more information, contact Special Collections at special@utk.edu.",,Still Image
0012_003707_000023,You Step One Foot Over There and We'll Shoot Your Pet Dog!,Florida Times-Union,"President Jimmy Carter threatens an armed, overlooming Soviet General Secretary Leonid Brezhnev. A man in a suit labeled ""Europe"" aims a long rifle at a skeleton dog, whose dog tag reads ""Détente."" A small sign nearby reads ""Poland.""",copyright 1980,1980,exact,Ed Gamble Cartoon Collection,MS.3763,11 inches by 17 inches,cartoons (humorous images),International relations--Caricatures and cartoons,eng,"Gamble, Ed",Illustrator,Florida Times-Union,Jacksonville (Fla.),Poland,Soviet Union,,"Carter, Jimmy, 1924-",reformatted digital,"Brezhnev, Leonid Ilʹich, 1906-1982",,,,Soviet Union--Boundaries--Poland,Poland--Foreign relations--1945-1989,Detente,International relations,Ed Gamble Cartoon Collection,"University of Tennessee, Knoxville. Special Collections","The copyright interests in this item remain with the creator. For more information, contact Special Collections at special@utk.edu.",,Still Image
0012_003707_000024,And if these ineffective and incompetent leaders can't solve our problems...they should resign...,Florida Times-Union,"Iranian president Abolhasan Bani-Sadr bails water out of a boat labeled ""Iran"", using a bucket labeled ""Economy."" He shares the boat with Grand Ayatollah Ruhollah Khomeini and a large, tied-up and gagged man whose shirt sleeve is labeled ""Hostages.""",copyright 1980,1980,exact,Ed Gamble Cartoon Collection,MS.3763,11 inches by 17 inches,cartoons (humorous images),World politics and government--Caricatures and cartoons,eng,"Gamble, Ed",Illustrator,Florida Times-Union,Jacksonville (Fla.),Iran,,,"Khomeini, Ruhollah",reformatted digital,"Banī Ṣadr, Abū al-Ḥasan",,,,Iran--Politics and government--1979-1997,"Iran Hostage Crisis, 1979-1981",Iran--Economic conditions--1979-1997,,Ed Gamble Cartoon Collection,"University of Tennessee, Knoxville. Special Collections","The copyright interests in this item remain with the creator. For more information, contact Special Collections at special@utk.edu.",,Still Image
0012_003707_000025,Hey...Don't Hit The Booze You Fools! Don't Hit The Booze!!,Florida Times-Union,"In a Wild West-style saloon scene, two men labeled ""Iran"" and ""Iraq"" fight in the floor while shooting off revolvers. Another man at the bar, wearing a coat labeled ""The West"", cautions the fighters about shooting at the wall filled with gasoline and oil containers. The bartender, wearing a coat labeled ""OPEC"", protects a large oil barrel sitting on the bar counter.",copyright 1980,1980,exact,Ed Gamble Cartoon Collection,MS.3763,11 inches by 17 inches,cartoons (humorous images),International relations--Caricatures and cartoons,eng,"Gamble, Ed",Illustrator,Florida Times-Union,Jacksonville (Fla.),Middle East,Iraq,Iran,Organization of Petroleum Exporting Countries,reformatted digital,,,,,Gasoline industry,Petroleum industry and trade,International trade,,Ed Gamble Cartoon Collection,"University of Tennessee, Knoxville. Special Collections","The copyright interests in this item remain with the creator. For more information, contact Special Collections at special@utk.edu.",,Still Image
0012_003707_000026,The Soviet Union ships a tank and ammunition to Ethiopia,Nashville Banner,"A starving Ehtiopian child attempts to eat a bullet from a crate of ammunition. The child sits near bones and an overlooming tank that has an affixed sign that reads ""To Ethiopia, U.S.S.R."" with the Soviet symbol.",copyright 1980,1980,exact,Ed Gamble Cartoon Collection,MS.3763,11 inches by 17 inches,cartoons (humorous images),International relations--Caricatures and cartoons,eng,"Gamble, Ed",Illustrator,Nashville Banner,Nashville (Tenn.),Ethiopia,Soviet Union,,,reformatted digital,,,,,Military supplies,Famines--Africa,,,Ed Gamble Cartoon Collection,"University of Tennessee, Knoxville. Special Collections","The copyright interests in this item remain with the creator. For more information, contact Special Collections at special@utk.edu.",,Still Image
0012_003707_000027,The Coming of the Nine Digit Zip Codes!,Florida Times-Union,A series of scenarios depict instances when having nine digit zipcodes would backfire. These scenes include a teenager complaining about memorizing longer zip codes; a man taken away in a straight jacket; a man accidentally writing part of a zip code onto a tablecloth; and a carrier pigeon struggling to carry a large envelope.,copyright 1980,1980,exact,Ed Gamble Cartoon Collection,MS.3763,11 inches by 17 inches,cartoons (humorous images),United States--Politics and government--Caricatures and cartoons,eng,"Gamble, Ed",Illustrator,Florida Times-Union,Jacksonville (Fla.),United States,,,United States Postal Service,reformatted digital,,,,,Zip codes,ZIP+4 case history,Mail,,Ed Gamble Cartoon Collection,"University of Tennessee, Knoxville. Special Collections","The copyright interests in this item remain with the creator. For more information, contact Special Collections at special@utk.edu.",,Still Image
0012_003707_000028,Why It's a NASA...I Thought They Were Extinct!,Florida Times-Union,Two penguins wearing roller skates while standing on the ring of the planet Saturn notice the NASA satellite Voyager fly by. One of the penguins holds a telescope to his eye while marveling at the satellite.,copyright 1980,1980,exact,Ed Gamble Cartoon Collection,MS.3763,11 inches by 17 inches,cartoons (humorous images),United States--Politics and government--Caricatures and cartoons,eng,"Gamble, Ed",Illustrator,Florida Times-Union,Jacksonville (Fla.),Saturn (Planet),,,United States. National Aeronautics and Space Administration,reformatted digital,Voyager Project,,,,Outer space--Exploration,Penguins,,,Ed Gamble Cartoon Collection,"University of Tennessee, Knoxville. Special Collections","The copyright interests in this item remain with the creator. For more information, contact Special Collections at special@utk.edu.",,Still Image
0012_003707_000029,Now That's Incredible!,Florida Times-Union,"Republican presidential running mates Ronald Reagan and George H. W. Bush stand underneath a giant cannon among artillery shells labeled with political talking points such as ""foreign policy,"" ""economy,"" ""recession,"" and ""hostages."" They are agast as President Jimmy Carter rows away in a row boat labeled ""polls.""",copyright 1980,1980,exact,Ed Gamble Cartoon Collection,MS.3763,11 inches by 17 inches,cartoons (humorous images),United States--Politics and government--Caricatures and cartoons,eng,"Gamble, Ed",Illustrator,Florida Times-Union,Jacksonville (Fla.),United States,,,"Carter, Jimmy, 1924-",reformatted digital,"Reagan, Ronald","Bush, George, 1924-",,,Presidents--United States--Election,Voting,Public opinion,,Ed Gamble Cartoon Collection,"University of Tennessee, Knoxville. Special Collections","The copyright interests in this item remain with the creator. For more information, contact Special Collections at special@utk.edu.",,Still Image
0012_003707_000030,"You Didn't Tell Anybody We Were Planning a Tax Cut, Did You?",Florida Times-Union,"In a Wild West scene, President Jimmy Carter and his advisor on inflation, Alfred E. Kahn, are held up on a stagecoach by presidential candidate Ronald Reagan. Carter and Kahn are transporting a crate labeled ""tax cut""",copyright 1980,1980,exact,Ed Gamble Cartoon Collection,MS.3763,11 inches by 17 inches,cartoons (humorous images),United States--Politics and government--Caricatures and cartoons,eng,"Gamble, Ed",Illustrator,Florida Times-Union,Jacksonville (Fla.),United States,,,"Carter, Jimmy, 1924-",reformatted digital,"Reagan, Ronald","Kahn, Alfred E. (Alfred Edward)",,,Presidents--United States--Election,United States--Economic conditions--1971-1981,Recessions,,Ed Gamble Cartoon Collection,"University of Tennessee, Knoxville. Special Collections","The copyright interests in this item remain with the creator. For more information, contact Special Collections at special@utk.edu.",,Still Image
0012_003707_000031,"Hey... Back of the Line, Buddy!",Florida Times-Union,"A line circles around a building whose sign reads ""Defense Spending Peace Dividends."" Several people wearing jackets labeled with political issues such as ""The deficit,"" ""environment,"" ""war on drugs,"" and ""roads, bridges"" form the line. One of the people in line informs a smaller figure, whose jacket reads ""inner cities, education,"" to get to the back of the line.",copyright 1980,1980,exact,Ed Gamble Cartoon Collection,MS.3763,11 inches by 17 inches,cartoons (humorous images),United States--Politics and government--Caricatures and cartoons,eng,"Gamble, Ed",Illustrator,Florida Times-Union,Jacksonville (Fla.),United States,,,,reformatted digital,,,,,Government spending policy,"Expenditures, Public",International relations,Education,Ed Gamble Cartoon Collection,"University of Tennessee, Knoxville. Special Collections","The copyright interests in this item remain with the creator. For more information, contact Special Collections at special@utk.edu.",,Still Image
0012_003707_000032,Watch for Falling Interest Rates,Florida Times-Union,"A man hauling a house, labeled ""Housing Industry,"" with his truck, labeled ""economic recovery,"" faces a large boulder tumbling down the hill. The boulder is labeled ""Higher Interest Rates.""",copyright 1980,1980,exact,Ed Gamble Cartoon Collection,MS.3763,11 inches by 17 inches,cartoons (humorous images),United States--Economic conditions--Caricatures and cartoons,eng,"Gamble, Ed",Illustrator,Florida Times-Union,Jacksonville (Fla.),United States,,,,reformatted digital,,,,,United States--Economic conditions--1971-1981,Interest rates,Housing--United States,,Ed Gamble Cartoon Collection,"University of Tennessee, Knoxville. Special Collections","The copyright interests in this item remain with the creator. For more information, contact Special Collections at special@utk.edu.",,Still Image
0012_003707_000033,I Suppose This Means You're Going Out of Business?,Florida Times-Union,"Uncle Sam asks President Jimmy Carter, who is hiding in his demolished ""Balance Budget"" roadside stand, whether he is still in business. The stand has been destroyed by a large bomb labeled ""recession"" and a truck, labeled ""Congress."" The Republican elephant and the Democratic donkey fight for the steering wheel as the truck hauls a crate labeled ""tax cut.""",copyright 1980,1980,exact,Ed Gamble Cartoon Collection,MS.3763,11 inches by 17 inches,cartoons (humorous images),United States--Politics and government--Caricatures and cartoons,eng,"Gamble, Ed",Illustrator,Florida Times-Union,Jacksonville (Fla.),United States,,,"Carter, Jimmy, 1924-",reformatted digital,Republican Party (U.S. : 1854- ),Democratic National Committee (U.S.),,,United States--Economic conditions--1971-1981,Recessions,Republican elephant (Symbolic character),Democratic donkey (Symbolic character),Ed Gamble Cartoon Collection,"University of Tennessee, Knoxville. Special Collections","The copyright interests in this item remain with the creator. For more information, contact Special Collections at special@utk.edu.",,Still Image
0012_003707_000034,And Another Leap Forward for America!,Florida Times-Union,"Two astronauts exit the Columbia space shuttle paraphrasing Neil Armstrong's famous quote: ""another giant leap for mankind!"" Uncle Sam, dressed in astronaut garb, skips off of the shuttle declaring ""And another leap forward for America!""",copyright 1981,1981,exact,Ed Gamble Cartoon Collection,MS.3763,11 inches by 17 inches,cartoons (humorous images),United States--Politics and government--Caricatures and cartoons,eng,"Gamble, Ed",Illustrator,Florida Times-Union,Jacksonville (Fla.),John F. Kennedy Space Center,Cape Canaveral (Fla.),,United States. National Aeronautics and Space Administration,reformatted digital,Columbia (Spacecraft),Space Shuttle Program (U.S.),,,Uncle Sam (Symbolic character),Outer space--Exploration,,,Ed Gamble Cartoon Collection,"University of Tennessee, Knoxville. Special Collections","The copyright interests in this item remain with the creator. For more information, contact Special Collections at special@utk.edu.",,Still Image
